homeTileId,workTileId,rows,workers
NEC_CM02_RM03,NEC_CP00_RP01,13,13
NEC_CM02_RM03,NEC_CP00_RP02,7,7
NEC_CM02_RM03,NEC_CP01_RP00,46,46
NEC_CM02_RM03,NEC_CP01_RP01,17,17
NEC_CM02_RM03,NEC_CP01_RP02,3,3
NEC_CM02_RM03,NEC_CP02_RP00,3,3
NEC_CM02_RM03,NEC_CP02_RP01,5,5
NEC_CM02_RM03,NEC_CP02_RP02,6,6
NEC_CM02_RM03,NEC_CP03_RP01,25,25
NEC_CM02_RM03,NEC_CP03_RP02,59,59
NEC_CM02_RM03,NEC_CP03_RP03,2,2
NEC_CM02_RM03,NEC_CP04_RP01,2,2
NEC_CM02_RM03,NEC_CP04_RP03,1,1
NEC_CM02_RP00,NEC_CM01_RM01,29325,29449
NEC_CM02_RP00,NEC_CM01_RM02,257,257
NEC_CM02_RP00,NEC_CM01_RM03,34,34
NEC_CM02_RP00,NEC_CM01_RP00,30155,30788
NEC_CM02_RP00,NEC_CM01_RP01,1034,1042
NEC_CM02_RP00,NEC_CM02_RM01,42505,42914
NEC_CM02_RP00,NEC_CM02_RM02,111,111
NEC_CM02_RP00,NEC_CM02_RM03,39,39
NEC_CM02_RP00,NEC_CM02_RP00,298041,322814
NEC_CM02_RP00,NEC_CM02_RP01,18163,18553
NEC_CM02_RP00,NEC_CM03_RM01,19199,19290
NEC_CM02_RP00,NEC_CM03_RM02,773,773
NEC_CM02_RP00,NEC_CM03_RM03,31,31
NEC_CM02_RP00,NEC_CM03_RP00,15131,15564
NEC_CM02_RP00,NEC_CM04_RM01,2525,2527
NEC_CM02_RP00,NEC_CM04_RM02,521,521
NEC_CM02_RP00,NEC_CM04_RM03,37,37
NEC_CM02_RP00,NEC_CP00_RM01,821,821
NEC_CM02_RP00,NEC_CP00_RP00,12160,12174
NEC_CM02_RP00,NEC_CP00_RP01,279,279
NEC_CM02_RP00,NEC_CP00_RP02,226,226
NEC_CM02_RP00,NEC_CP01_RP00,525,525
NEC_CM02_RP00,NEC_CP01_RP01,242,242
NEC_CM02_RP00,NEC_CP01_RP02,51,51
NEC_CM02_RP00,NEC_CP02_RP00,24,24
NEC_CM02_RP00,NEC_CP02_RP01,42,42
NEC_CM02_RP00,NEC_CP02_RP02,36,36
NEC_CM02_RP00,NEC_CP02_RP03,11,11
NEC_CM02_RP00,NEC_CP03_RP01,39,39
NEC_CM02_RP00,NEC_CP03_RP02,187,187
NEC_CM02_RP00,NEC_CP03_RP03,13,13
NEC_CM02_RP00,NEC_CP04_RP00,2,2
NEC_CM02_RP00,NEC_CP04_RP01,13,13
NEC_CM02_RP00,NEC_CP04_RP03,9,9
NEC_CM02_RP01,NEC_CM01_RM01,4050,4064
NEC_CM02_RP01,NEC_CM01_RM02,62,62
NEC_CM02_RP01,NEC_CM01_RM03,9,9
NEC_CM02_RP01,NEC_CM01_RP00,2664,2672
NEC_CM02_RP01,NEC_CM01_RP01,3562,3699
NEC_CM02_RP01,NEC_CM02_RM01,3922,3926
NEC_CM02_RP01,NEC_CM02_RM02,17,17
NEC_CM02_RP01,NEC_CM02_RM03,7,7
NEC_CM02_RP01,NEC_CM02_RP00,23404,24166
NEC_CM02_RP01,NEC_CM02_RP01,105368,116617
NEC_CM02_RP01,NEC_CM03_RM01,3816,3820
NEC_CM02_RP01,NEC_CM03_RM02,217,217
NEC_CM02_RP01,NEC_CM03_RM03,11,11
NEC_CM02_RP01,NEC_CM03_RP00,2198,2211
NEC_CM02_RP01,NEC_CM04_RM01,503,505
NEC_CM02_RP01,NEC_CM04_RM02,151,151
NEC_CM02_RP01,NEC_CM04_RM03,11,11
NEC_CM02_RP01,NEC_CP00_RM01,121,121
NEC_CM02_RP01,NEC_CP00_RP00,6370,6393
NEC_CM02_RP01,NEC_CP00_RP01,770,773
NEC_CM02_RP01,NEC_CP00_RP02,1933,1959
NEC_CM02_RP01,NEC_CP01_RP00,680,681
NEC_CM02_RP01,NEC_CP01_RP01,120,120
NEC_CM02_RP01,NEC_CP01_RP02,35,35
NEC_CM02_RP01,NEC_CP02_RP00,13,13
NEC_CM02_RP01,NEC_CP02_RP01,15,15
NEC_CM02_RP01,NEC_CP02_RP02,14,14
NEC_CM02_RP01,NEC_CP02_RP03,12,12
NEC_CM02_RP01,NEC_CP03_RP01,24,24
NEC_CM02_RP01,NEC_CP03_RP02,101,101
NEC_CM02_RP01,NEC_CP03_RP03,5,5
NEC_CM02_RP01,NEC_CP04_RP00,1,1
NEC_CM02_RP01,NEC_CP04_RP01,11,11
NEC_CM02_RP01,NEC_CP04_RP03,2,2
NEC_CM03_RM01,NEC_CM01_RM01,19886,19950
NEC_CM03_RM01,NEC_CM01_RM02,195,195
NEC_CM03_RM01,NEC_CM01_RM03,152,152
NEC_CM03_RM01,NEC_CM01_RP00,1650,1651
NEC_CM03_RM01,NEC_CM01_RP01,107,107
NEC_CM03_RM01,NEC_CM02_RM01,54779,55962
NEC_CM03_RM01,NEC_CM02_RM02,1433,1456
NEC_CM03_RM01,NEC_CM02_RM03,340,340
NEC_CM03_RM01,NEC_CM02_RP00,14754,14810
NEC_CM03_RM01,NEC_CM02_RP01,1758,1761
NEC_CM03_RM01,NEC_CM03_RM01,456836,496542
NEC_CM03_RM01,NEC_CM03_RM02,45428,47213
NEC_CM03_RM01,NEC_CM03_RM03,474,474
NEC_CM03_RM01,NEC_CM03_RP00,8105,8146
NEC_CM03_RM01,NEC_CM04_RM01,23128,23758
NEC_CM03_RM01,NEC_CM04_RM02,6149,6182
NEC_CM03_RM01,NEC_CM04_RM03,113,113
NEC_CM03_RM01,NEC_CP00_RM01,210,210
NEC_CM03_RM01,NEC_CP00_RP00,2871,2871
NEC_CM03_RM01,NEC_CP00_RP01,117,117
NEC_CM03_RM01,NEC_CP00_RP02,31,31
NEC_CM03_RM01,NEC_CP01_RP00,242,242
NEC_CM03_RM01,NEC_CP01_RP01,78,78
NEC_CM03_RM01,NEC_CP01_RP02,18,18
NEC_CM03_RM01,NEC_CP02_RP00,7,7
NEC_CM03_RM01,NEC_CP02_RP01,27,27
NEC_CM03_RM01,NEC_CP02_RP02,30,30
NEC_CM03_RM01,NEC_CP02_RP03,19,19
NEC_CM03_RM01,NEC_CP03_RP00,2,2
NEC_CM03_RM01,NEC_CP03_RP01,57,57
NEC_CM03_RM01,NEC_CP03_RP02,187,187
NEC_CM03_RM01,NEC_CP03_RP03,9,9
NEC_CM03_RM01,NEC_CP04_RP01,10,10
NEC_CM03_RM01,NEC_CP04_RP03,18,18
NEC_CM03_RM02,NEC_CM01_RM01,4084,4089
NEC_CM03_RM02,NEC_CM01_RM02,468,468
NEC_CM03_RM02,NEC_CM01_RM03,1622,1623
NEC_CM03_RM02,NEC_CM01_RP00,860,860
NEC_CM03_RM02,NEC_CM01_RP01,62,62
NEC_CM03_RM02,NEC_CM02_RM01,5771,5793
NEC_CM03_RM02,NEC_CM02_RM02,15713,16355
NEC_CM03_RM02,NEC_CM02_RM03,5554,5576
NEC_CM03_RM02,NEC_CM02_RP00,717,717
NEC_CM03_RM02,NEC_CM02_RP01,174,174
NEC_CM03_RM02,NEC_CM03_RM01,9062,9205
NEC_CM03_RM02,NEC_CM03_RM02,1424136,1598234
NEC_CM03_RM02,NEC_CM03_RM03,17810,18129
NEC_CM03_RM02,NEC_CM03_RP00,242,242
NEC_CM03_RM02,NEC_CM04_RM01,7000,7053
NEC_CM03_RM02,NEC_CM04_RM02,246833,267509
NEC_CM03_RM02,NEC_CM04_RM03,5855,5884
NEC_CM03_RM02,NEC_CP00_RM01,509,509
NEC_CM03_RM02,NEC_CP00_RP00,8590,8599
NEC_CM03_RM02,NEC_CP00_RP01,116,116
NEC_CM03_RM02,NEC_CP00_RP02,117,117
NEC_CM03_RM02,NEC_CP01_RP00,530,531
NEC_CM03_RM02,NEC_CP01_RP01,225,225
NEC_CM03_RM02,NEC_CP01_RP02,92,92
NEC_CM03_RM02,NEC_CP02_RP00,22,22
NEC_CM03_RM02,NEC_CP02_RP01,85,85
NEC_CM03_RM02,NEC_CP02_RP02,116,116
NEC_CM03_RM02,NEC_CP02_RP03,49,49
NEC_CM03_RM02,NEC_CP03_RP01,220,220
NEC_CM03_RM02,NEC_CP03_RP02,1242,1246
NEC_CM03_RM02,NEC_CP03_RP03,27,27
NEC_CM03_RM02,NEC_CP04_RP00,3,3
NEC_CM03_RM02,NEC_CP04_RP01,49,49
NEC_CM03_RM02,NEC_CP04_RP03,50,50
NEC_CM03_RM03,NEC_CM01_RM01,285,285
NEC_CM03_RM03,NEC_CM01_RM02,46,46
