homeTileId,workTileId,odRows,workers
NY_CM03_RP04,NY_CM05_RP03,1,1
NY_CM03_RP04,NY_CP00_RP00,8,8
NY_CM03_RP04,NY_CP00_RP01,2,2
NY_CM03_RP04,NY_CP00_RP02,19,19
NY_CM03_RP04,NY_CP00_RP03,2,2
NY_CM03_RP04,NY_CP00_RP04,4,4
NY_CM03_RP04,NY_CP01_RP00,3,3
NY_CM04_RP01,NY_CM01_RP00,3,3
NY_CM04_RP01,NY_CM01_RP01,8,8
NY_CM04_RP01,NY_CM01_RP02,31,31
NY_CM04_RP01,NY_CM01_RP03,2,2
NY_CM04_RP01,NY_CM01_RP04,3,3
NY_CM04_RP01,NY_CM01_RP05,1,1
NY_CM04_RP01,NY_CM02_RP01,70,70
NY_CM04_RP01,NY_CM02_RP02,176,176
NY_CM04_RP01,NY_CM02_RP03,51,51
NY_CM04_RP01,NY_CM02_RP04,6,6
NY_CM04_RP01,NY_CM03_RP01,1658,1771
NY_CM04_RP01,NY_CM03_RP02,313,314
NY_CM04_RP01,NY_CM03_RP03,19,19
NY_CM04_RP01,NY_CM04_RP01,2602,3029
NY_CM04_RP01,NY_CM04_RP02,1783,1894
NY_CM04_RP01,NY_CM04_RP03,357,359
NY_CM04_RP01,NY_CM05_RP01,512,527
NY_CM04_RP01,NY_CM05_RP02,1004,1011
NY_CM04_RP01,NY_CM05_RP03,84,84
NY_CM04_RP01,NY_CM06_RP01,86,86
NY_CM04_RP01,NY_CM06_RP02,84,85
NY_CM04_RP01,NY_CP00_RP00,180,181
NY_CM04_RP01,NY_CP00_RP01,22,22
NY_CM04_RP01,NY_CP00_RP02,77,77
NY_CM04_RP01,NY_CP00_RP03,4,4
NY_CM04_RP01,NY_CP00_RP04,10,10
NY_CM04_RP01,NY_CP01_RP00,16,16
NY_CM04_RP01,NY_CP01_RP02,1,1
NY_CM04_RP02,NY_CM01_RP00,15,15
NY_CM04_RP02,NY_CM01_RP01,199,199
NY_CM04_RP02,NY_CM01_RP02,371,371
NY_CM04_RP02,NY_CM01_RP03,89,89
NY_CM04_RP02,NY_CM01_RP04,59,59
NY_CM04_RP02,NY_CM01_RP05,20,20
NY_CM04_RP02,NY_CM02_RP01,765,767
NY_CM04_RP02,NY_CM02_RP02,3109,3140
NY_CM04_RP02,NY_CM02_RP03,920,923
NY_CM04_RP02,NY_CM02_RP04,113,113
NY_CM04_RP02,NY_CM03_RP01,3002,3101
NY_CM04_RP02,NY_CM03_RP02,7149,7405
NY_CM04_RP02,NY_CM03_RP03,810,823
NY_CM04_RP02,NY_CM03_RP04,7,7
NY_CM04_RP02,NY_CM04_RP01,1043,1073
NY_CM04_RP02,NY_CM04_RP02,63143,72973
NY_CM04_RP02,NY_CM04_RP03,41838,49092
NY_CM04_RP02,NY_CM05_RP01,716,736
NY_CM04_RP02,NY_CM05_RP02,12859,13120
NY_CM04_RP02,NY_CM05_RP03,1371,1376
NY_CM04_RP02,NY_CM06_RP01,246,246
NY_CM04_RP02,NY_CM06_RP02,265,265
NY_CM04_RP02,NY_CP00_RP00,4415,4440
NY_CM04_RP02,NY_CP00_RP01,404,405
NY_CM04_RP02,NY_CP00_RP02,1468,1470
NY_CM04_RP02,NY_CP00_RP03,103,103
NY_CM04_RP02,NY_CP00_RP04,97,97
NY_CM04_RP02,NY_CP00_RP05,1,1
NY_CM04_RP02,NY_CP01_RP00,518,519
NY_CM04_RP02,NY_CP01_RP02,1,1
NY_CM04_RP02,NY_CP02_RP00,20,20
NY_CM04_RP03,NY_CM01_RP00,16,16
NY_CM04_RP03,NY_CM01_RP01,273,273
NY_CM04_RP03,NY_CM01_RP02,566,566
NY_CM04_RP03,NY_CM01_RP03,99,99
NY_CM04_RP03,NY_CM01_RP04,84,84
NY_CM04_RP03,NY_CM01_RP05,16,16
NY_CM04_RP03,NY_CM02_RP01,864,866
NY_CM04_RP03,NY_CM02_RP02,4534,4566
NY_CM04_RP03,NY_CM02_RP03,1403,1405
NY_CM04_RP03,NY_CM02_RP04,168,168
NY_CM04_RP03,NY_CM03_RP01,888,890
NY_CM04_RP03,NY_CM03_RP02,3893,3943
NY_CM04_RP03,NY_CM03_RP03,1905,1993
NY_CM04_RP03,NY_CM03_RP04,12,12
NY_CM04_RP03,NY_CM04_RP01,121,122
NY_CM04_RP03,NY_CM04_RP02,45241,49721
NY_CM04_RP03,NY_CM04_RP03,156420,186299
NY_CM04_RP03,NY_CM05_RP01,327,328
NY_CM04_RP03,NY_CM05_RP02,12813,12925
NY_CM04_RP03,NY_CM05_RP03,2801,2868
NY_CM04_RP03,NY_CM06_RP01,233,233
NY_CM04_RP03,NY_CM06_RP02,218,218
NY_CM04_RP03,NY_CP00_RP00,7849,7885
NY_CM04_RP03,NY_CP00_RP01,550,554
NY_CM04_RP03,NY_CP00_RP02,2706,2712
NY_CM04_RP03,NY_CP00_RP03,202,202
NY_CM04_RP03,NY_CP00_RP04,144,144
NY_CM04_RP03,NY_CP00_RP05,3,3
NY_CM04_RP03,NY_CP01_RP00,776,779
NY_CM04_RP03,NY_CP02_RP00,19,19
NY_CM05_RP01,NY_CM01_RP00,3,3
NY_CM05_RP01,NY_CM01_RP01,17,17
NY_CM05_RP01,NY_CM01_RP02,62,62
NY_CM05_RP01,NY_CM01_RP03,8,8
NY_CM05_RP01,NY_CM01_RP04,5,5
